stable_id,game_id,game_era_id,draw_date,draw_timestamp_millis,draw_session,main_1,main_2,main_3,main_4,main_5,star_ball,source_reference,validation_status,origin,source_evidence_id,is_sample
lotto-america-2017-11-15,lotto_america,lotto_america_52_10_2017,2017-11-15,,,2,9,18,31,39,9,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-11-18,lotto_america,lotto_america_52_10_2017,2017-11-18,,,4,25,26,41,47,6,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-11-22,lotto_america,lotto_america_52_10_2017,2017-11-22,,,6,8,22,29,34,8,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-11-25,lotto_america,lotto_america_52_10_2017,2017-11-25,,,1,7,16,25,26,8,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-11-29,lotto_america,lotto_america_52_10_2017,2017-11-29,,,1,4,5,16,38,9,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-12-02,lotto_america,lotto_america_52_10_2017,2017-12-02,,,22,28,45,47,51,6,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-12-06,lotto_america,lotto_america_52_10_2017,2017-12-06,,,18,29,37,39,42,4,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-12-09,lotto_america,lotto_america_52_10_2017,2017-12-09,,,2,5,7,22,25,2,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-12-13,lotto_america,lotto_america_52_10_2017,2017-12-13,,,9,18,23,46,50,3,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-12-16,lotto_america,lotto_america_52_10_2017,2017-12-16,,,5,16,27,34,44,5,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-12-20,lotto_america,lotto_america_52_10_2017,2017-12-20,,,5,12,23,24,32,2,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-12-23,lotto_america,lotto_america_52_10_2017,2017-12-23,,,2,32,37,39,51,5,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-12-27,lotto_america,lotto_america_52_10_2017,2017-12-27,,,4,30,38,47,48,3,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2017-12-30,lotto_america,lotto_america_52_10_2017,2017-12-30,,,4,7,10,14,17,9,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
lotto-america-2018-01-03,lotto_america,lotto_america_52_10_2017,2018-01-03,,,3,18,22,33,43,5,data2n-dual-official,OFFICIAL_VERIFIED,DATA2O_OFFLINE_RECONCILIATION,data2o-dual-official,false
