stable_draw_id,advertised_jackpot_minor_units,jackpot_winner_count,rollover,multiplier,extra_draw_data,prize_tiers_json
lotto-america-2017-11-15,,,,4x,,[]
lotto-america-2017-11-18,,,,2x,,[]
lotto-america-2017-11-22,,,,4x,,[]
lotto-america-2017-11-25,,,,2x,,[]
lotto-america-2017-11-29,,,,2x,,[]
lotto-america-2017-12-02,,,,3x,,[]
lotto-america-2017-12-06,,,,5x,,[]
lotto-america-2017-12-09,,,,2x,,[]
lotto-america-2017-12-13,,,,3x,,[]
lotto-america-2017-12-16,,,,2x,,[]
lotto-america-2017-12-20,,,,2x,,[]
lotto-america-2017-12-23,,,,4x,,[]
lotto-america-2017-12-27,,,,2x,,[]
lotto-america-2017-12-30,,,,2x,,[]
lotto-america-2018-01-03,,,,5x,,[]
lotto-america-2018-01-06,,,,3x,,[]
lotto-america-2018-01-10,,,,2x,,[]
lotto-america-2018-01-13,,,,2x,,[]
lotto-america-2018-01-17,,,,3x,,[]
lotto-america-2018-01-20,,,,5x,,[]
lotto-america-2018-01-24,,,,4x,,[]
lotto-america-2018-01-27,,,,3x,,[]
lotto-america-2018-01-31,,,,2x,,[]
lotto-america-2018-02-03,,,,2x,,[]
lotto-america-2018-02-07,,,,5x,,[]
lotto-america-2018-02-10,,,,2x,,[]
lotto-america-2018-02-14,,,,2x,,[]
lotto-america-2018-02-17,,,,2x,,[]
lotto-america-2018-02-21,,,,3x,,[]
lotto-america-2018-02-24,,,,4x,,[]
lotto-america-2018-02-28,,,,2x,,[]
lotto-america-2018-03-03,,,,3x,,[]
lotto-america-2018-03-07,,,,2x,,[]
lotto-america-2018-03-10,,,,3x,,[]
lotto-america-2018-03-14,,,,2x,,[]
lotto-america-2018-03-17,,,,3x,,[]
lotto-america-2018-03-21,,,,5x,,[]
lotto-america-2018-03-24,,,,3x,,[]
lotto-america-2018-03-28,,,,3x,,[]
lotto-america-2018-03-31,,,,3x,,[]
lotto-america-2018-04-04,,,,4x,,[]
lotto-america-2018-04-07,,,,4x,,[]
lotto-america-2018-04-11,,,,2x,,[]
lotto-america-2018-04-14,,,,5x,,[]
lotto-america-2018-04-18,,,,2x,,[]
lotto-america-2018-04-21,,,,4x,,[]
lotto-america-2018-04-25,,,,5x,,[]
lotto-america-2018-04-28,,,,2x,,[]
lotto-america-2018-05-02,,,,2x,,[]
lotto-america-2018-05-05,,,,2x,,[]
lotto-america-2018-05-09,,,,2x,,[]
lotto-america-2018-05-12,,,,3x,,[]
lotto-america-2018-05-16,,,,3x,,[]
lotto-america-2018-05-19,,,,2x,,[]
lotto-america-2018-05-23,,,,2x,,[]
lotto-america-2018-05-26,,,,3x,,[]
lotto-america-2018-05-30,,,,2x,,[]
lotto-america-2018-06-02,,,,2x,,[]
lotto-america-2018-06-06,,,,3x,,[]
lotto-america-2018-06-09,,,,4x,,[]
lotto-america-2018-06-13,,,,4x,,[]
lotto-america-2018-06-16,,,,3x,,[]
lotto-america-2018-06-20,,,,2x,,[]
lotto-america-2018-06-23,,,,5x,,[]
lotto-america-2018-06-27,,,,2x,,[]
lotto-america-2018-06-30,,,,5x,,[]
lotto-america-2018-07-04,,,,4x,,[]
lotto-america-2018-07-07,,,,2x,,[]
lotto-america-2018-07-11,,,,3x,,[]
lotto-america-2018-07-14,,,,3x,,[]
lotto-america-2018-07-18,,,,2x,,[]
