stable_id,game_id,game_era_id,draw_date,draw_timestamp_millis,draw_session,main_1,main_2,main_3,main_4,main_5,mega_ball,source_reference,validation_status,origin,source_evidence_id,is_sample
mega-millions-1996-09-06,mega_millions,mega_millions_big_game_50_25_1996,1996-09-06,,DRAW,5,11,29,47,50,17,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
mega-millions-1996-09-13,mega_millions,mega_millions_big_game_50_25_1996,1996-09-13,,DRAW,3,4,9,30,47,1,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
mega-millions-1996-09-20,mega_millions,mega_millions_big_game_50_25_1996,1996-09-20,,DRAW,5,24,31,34,48,6,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
mega-millions-1996-09-27,mega_millions,mega_millions_big_game_50_25_1996,1996-09-27,,DRAW,8,25,35,37,48,8,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
mega-millions-1996-10-04,mega_millions,mega_millions_big_game_50_25_1996,1996-10-04,,DRAW,8,16,18,36,38,1,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
mega-millions-1996-10-11,mega_millions,mega_millions_big_game_50_25_1996,1996-10-11,,DRAW,2,23,37,40,50,22,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
mega-millions-1996-10-18,mega_millions,mega_millions_big_game_50_25_1996,1996-10-18,,DRAW,9,18,24,26,46,18,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
mega-millions-1996-10-25,mega_millions,mega_millions_big_game_50_25_1996,1996-10-25,,DRAW,23,28,30,35,43,9,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
mega-millions-1996-11-01,mega_millions,mega_millions_big_game_50_25_1996,1996-11-01,,DRAW,2,10,28,39,49,17,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
mega-millions-1996-11-08,mega_millions,mega_millions_big_game_50_25_1996,1996-11-08,,DRAW,11,23,25,35,46,17,https://www.valottery.com/api/v1/downloadall?gameId=15,OFFICIAL_VERIFIED,VIRGINIA_LOTTERY_OFFICIAL_ARCHIVE,data2s-mm-va-full-lineage-2026-08-28,false
