stable_draw_id,game_id,game_era_id,draw_date,source_evidence_id,source_url,raw_response_sha256,retrieved_at_utc,parser_version,source_organization,source_classification,source_limitation
mega-millions-1996-09-06,mega_millions,mega_millions_big_game_50_25_1996,1996-09-06,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-09-13,mega_millions,mega_millions_big_game_50_25_1996,1996-09-13,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-09-20,mega_millions,mega_millions_big_game_50_25_1996,1996-09-20,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-09-27,mega_millions,mega_millions_big_game_50_25_1996,1996-09-27,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-10-04,mega_millions,mega_millions_big_game_50_25_1996,1996-10-04,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-10-11,mega_millions,mega_millions_big_game_50_25_1996,1996-10-11,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-10-18,mega_millions,mega_millions_big_game_50_25_1996,1996-10-18,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-10-25,mega_millions,mega_millions_big_game_50_25_1996,1996-10-25,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-11-01,mega_millions,mega_millions_big_game_50_25_1996,1996-11-01,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-11-08,mega_millions,mega_millions_big_game_50_25_1996,1996-11-08,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-11-15,mega_millions,mega_millions_big_game_50_25_1996,1996-11-15,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-11-22,mega_millions,mega_millions_big_game_50_25_1996,1996-11-22,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-11-29,mega_millions,mega_millions_big_game_50_25_1996,1996-11-29,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-12-06,mega_millions,mega_millions_big_game_50_25_1996,1996-12-06,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-12-13,mega_millions,mega_millions_big_game_50_25_1996,1996-12-13,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
mega-millions-1996-12-20,mega_millions,mega_millions_big_game_50_25_1996,1996-12-20,data2s-mm-va-full-lineage-2026-08-28,https://www.valottery.com/api/v1/downloadall?gameId=15,e1cce08955fee0c1bd730b181dde17a8b4c648052ff394a80baed5e8678dd156,2026-08-29T21:19:04.473097646Z,data2s-mega-virginia-full-history-parser-v1,Virginia Lottery,OFFICIAL_STATE_LOTTERY_ARCHIVE,"Virginia Lottery historical information is manually entered, human error is possible, and Virginia Lottery does not guarantee its accuracy."
