stable_draw_id,advertised_jackpot_minor_units,jackpot_winner_count,rollover,multiplier,extra_draw_data,prize_tiers_json
mega-millions-1996-09-06,,,,,,[]
mega-millions-1996-09-13,,,,,,[]
mega-millions-1996-09-20,,,,,,[]
mega-millions-1996-09-27,,,,,,[]
mega-millions-1996-10-04,,,,,,[]
mega-millions-1996-10-11,,,,,,[]
mega-millions-1996-10-18,,,,,,[]
mega-millions-1996-10-25,,,,,,[]
mega-millions-1996-11-01,,,,,,[]
mega-millions-1996-11-08,,,,,,[]
mega-millions-1996-11-15,,,,,,[]
mega-millions-1996-11-22,,,,,,[]
mega-millions-1996-11-29,,,,,,[]
mega-millions-1996-12-06,,,,,,[]
mega-millions-1996-12-13,,,,,,[]
mega-millions-1996-12-20,,,,,,[]
mega-millions-1996-12-27,,,,,,[]
mega-millions-1997-01-03,,,,,,[]
mega-millions-1997-01-10,,,,,,[]
mega-millions-1997-01-17,,,,,,[]
mega-millions-1997-01-24,,,,,,[]
mega-millions-1997-01-31,,,,,,[]
mega-millions-1997-02-07,,,,,,[]
mega-millions-1997-02-14,,,,,,[]
mega-millions-1997-02-21,,,,,,[]
mega-millions-1997-02-28,,,,,,[]
mega-millions-1997-03-07,,,,,,[]
mega-millions-1997-03-14,,,,,,[]
mega-millions-1997-03-21,,,,,,[]
mega-millions-1997-03-28,,,,,,[]
mega-millions-1997-04-04,,,,,,[]
mega-millions-1997-04-11,,,,,,[]
mega-millions-1997-04-18,,,,,,[]
mega-millions-1997-04-25,,,,,,[]
mega-millions-1997-05-02,,,,,,[]
mega-millions-1997-05-09,,,,,,[]
mega-millions-1997-05-16,,,,,,[]
mega-millions-1997-05-23,,,,,,[]
mega-millions-1997-05-30,,,,,,[]
mega-millions-1997-06-06,,,,,,[]
mega-millions-1997-06-13,,,,,,[]
mega-millions-1997-06-20,,,,,,[]
mega-millions-1997-06-27,,,,,,[]
mega-millions-1997-07-04,,,,,,[]
mega-millions-1997-07-11,,,,,,[]
mega-millions-1997-07-18,,,,,,[]
mega-millions-1997-07-25,,,,,,[]
mega-millions-1997-08-01,,,,,,[]
mega-millions-1997-08-08,,,,,,[]
mega-millions-1997-08-15,,,,,,[]
mega-millions-1997-08-22,,,,,,[]
mega-millions-1997-08-29,,,,,,[]
mega-millions-1997-09-05,,,,,,[]
mega-millions-1997-09-12,,,,,,[]
mega-millions-1997-09-19,,,,,,[]
mega-millions-1997-09-26,,,,,,[]
mega-millions-1997-10-03,,,,,,[]
mega-millions-1997-10-10,,,,,,[]
mega-millions-1997-10-17,,,,,,[]
mega-millions-1997-10-24,,,,,,[]
mega-millions-1997-10-31,,,,,,[]
mega-millions-1997-11-07,,,,,,[]
mega-millions-1997-11-14,,,,,,[]
mega-millions-1997-11-21,,,,,,[]
mega-millions-1997-11-28,,,,,,[]
mega-millions-1997-12-05,,,,,,[]
mega-millions-1997-12-12,,,,,,[]
mega-millions-1997-12-19,,,,,,[]
mega-millions-1997-12-26,,,,,,[]
mega-millions-1998-01-02,,,,,,[]
mega-millions-1998-01-09,,,,,,[]
mega-millions-1998-01-16,,,,,,[]
mega-millions-1998-01-23,,,,,,[]
mega-millions-1998-01-30,,,,,,[]
mega-millions-1998-02-06,,,,,,[]
