stable_draw_id,game_id,game_era_id,draw_date,source_evidence_id,source_url,raw_response_sha256,retrieved_at_utc,parser_version,source_organization,source_classification,source_limitation
powerball-1992-04-22,powerball,powerball_45_45_1992,1992-04-22,data2s-pb-delaware-1992-04,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/4/PowerBall,842dd9914aec23a1f777dfd815abb5f2e6a42d74a23d1ebfdb783bb450a58aff,2026-08-29T17:51:57.758337Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
powerball-1992-04-25,powerball,powerball_45_45_1992,1992-04-25,data2s-pb-delaware-1992-04,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/4/PowerBall,842dd9914aec23a1f777dfd815abb5f2e6a42d74a23d1ebfdb783bb450a58aff,2026-08-29T17:51:57.758337Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
powerball-1992-04-29,powerball,powerball_45_45_1992,1992-04-29,data2s-pb-delaware-1992-04,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/4/PowerBall,842dd9914aec23a1f777dfd815abb5f2e6a42d74a23d1ebfdb783bb450a58aff,2026-08-29T17:51:57.758337Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
powerball-1992-05-02,powerball,powerball_45_45_1992,1992-05-02,data2s-pb-delaware-1992-05,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/5/PowerBall,8614ad995e308d5d940cf5e3a7cf2f6ed836824072179482c6ff7ffc696c2797,2026-08-29T17:51:58.043168Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
powerball-1992-05-06,powerball,powerball_45_45_1992,1992-05-06,data2s-pb-delaware-1992-05,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/5/PowerBall,8614ad995e308d5d940cf5e3a7cf2f6ed836824072179482c6ff7ffc696c2797,2026-08-29T17:51:58.043168Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
powerball-1992-05-09,powerball,powerball_45_45_1992,1992-05-09,data2s-pb-delaware-1992-05,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/5/PowerBall,8614ad995e308d5d940cf5e3a7cf2f6ed836824072179482c6ff7ffc696c2797,2026-08-29T17:51:58.043168Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
powerball-1992-05-13,powerball,powerball_45_45_1992,1992-05-13,data2s-pb-delaware-1992-05,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/5/PowerBall,8614ad995e308d5d940cf5e3a7cf2f6ed836824072179482c6ff7ffc696c2797,2026-08-29T17:51:58.043168Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
powerball-1992-05-16,powerball,powerball_45_45_1992,1992-05-16,data2s-pb-delaware-1992-05,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/5/PowerBall,8614ad995e308d5d940cf5e3a7cf2f6ed836824072179482c6ff7ffc696c2797,2026-08-29T17:51:58.043168Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
powerball-1992-05-20,powerball,powerball_45_45_1992,1992-05-20,data2s-pb-delaware-1992-05,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/5/PowerBall,8614ad995e308d5d940cf5e3a7cf2f6ed836824072179482c6ff7ffc696c2797,2026-08-29T17:51:58.043168Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
powerball-1992-05-23,powerball,powerball_45_45_1992,1992-05-23,data2s-pb-delaware-1992-05,https://www.delottery.com/Winning-Numbers/Search-Winners-Printable/1992/5/PowerBall,8614ad995e308d5d940cf5e3a7cf2f6ed836824072179482c6ff7ffc696c2797,2026-08-29T17:51:58.043168Z,data2s-powerball-delaware-parser-v2,Delaware Lottery,OFFICIAL_STATE_LOTTERY_PUBLISHED_ARCHIVE,Delaware Lottery describes the publication as unofficial and potentially containing errors; certified official drawing records prevail in a discrepancy.
