stable_draw_id,advertised_jackpot_minor_units,jackpot_winner_count,rollover,multiplier,extra_draw_data,prize_tiers_json
powerball-1992-04-22,,,,,,[]
powerball-1992-04-25,,,,,,[]
powerball-1992-04-29,,,,,,[]
powerball-1992-05-02,,,,,,[]
powerball-1992-05-06,,,,,,[]
powerball-1992-05-09,,,,,,[]
powerball-1992-05-13,,,,,,[]
powerball-1992-05-16,,,,,,[]
powerball-1992-05-20,,,,,,[]
powerball-1992-05-23,,,,,,[]
powerball-1992-05-27,,,,,,[]
powerball-1992-05-30,,,,,,[]
powerball-1992-06-03,,,,,,[]
powerball-1992-06-06,,,,,,[]
powerball-1992-06-10,,,,,,[]
powerball-1992-06-13,,,,,,[]
powerball-1992-06-17,,,,,,[]
powerball-1992-06-20,,,,,,[]
powerball-1992-06-24,,,,,,[]
powerball-1992-06-27,,,,,,[]
powerball-1992-07-01,,,,,,[]
powerball-1992-07-04,,,,,,[]
powerball-1992-07-08,,,,,,[]
powerball-1992-07-11,,,,,,[]
powerball-1992-07-15,,,,,,[]
powerball-1992-07-18,,,,,,[]
powerball-1992-07-22,,,,,,[]
powerball-1992-07-25,,,,,,[]
powerball-1992-07-29,,,,,,[]
powerball-1992-08-01,,,,,,[]
powerball-1992-08-05,,,,,,[]
powerball-1992-08-08,,,,,,[]
powerball-1992-08-12,,,,,,[]
powerball-1992-08-15,,,,,,[]
powerball-1992-08-19,,,,,,[]
powerball-1992-08-22,,,,,,[]
powerball-1992-08-26,,,,,,[]
powerball-1992-08-29,,,,,,[]
powerball-1992-09-02,,,,,,[]
powerball-1992-09-05,,,,,,[]
powerball-1992-09-09,,,,,,[]
powerball-1992-09-12,,,,,,[]
powerball-1992-09-16,,,,,,[]
powerball-1992-09-19,,,,,,[]
powerball-1992-09-23,,,,,,[]
powerball-1992-09-26,,,,,,[]
powerball-1992-09-30,,,,,,[]
powerball-1992-10-03,,,,,,[]
powerball-1992-10-07,,,,,,[]
powerball-1992-10-10,,,,,,[]
powerball-1992-10-14,,,,,,[]
powerball-1992-10-17,,,,,,[]
powerball-1992-10-21,,,,,,[]
powerball-1992-10-24,,,,,,[]
powerball-1992-10-28,,,,,,[]
powerball-1992-10-31,,,,,,[]
powerball-1992-11-04,,,,,,[]
powerball-1992-11-07,,,,,,[]
powerball-1992-11-11,,,,,,[]
powerball-1992-11-14,,,,,,[]
powerball-1992-11-18,,,,,,[]
powerball-1992-11-21,,,,,,[]
powerball-1992-11-25,,,,,,[]
powerball-1992-11-28,,,,,,[]
powerball-1992-12-02,,,,,,[]
powerball-1992-12-05,,,,,,[]
powerball-1992-12-09,,,,,,[]
powerball-1992-12-12,,,,,,[]
powerball-1992-12-16,,,,,,[]
powerball-1992-12-19,,,,,,[]
powerball-1992-12-23,,,,,,[]
powerball-1992-12-26,,,,,,[]
powerball-1992-12-30,,,,,,[]
powerball-1993-01-02,,,,,,[]
powerball-1993-01-06,,,,,,[]
powerball-1993-01-09,,,,,,[]
powerball-1993-01-13,,,,,,[]
powerball-1993-01-16,,,,,,[]
powerball-1993-01-20,,,,,,[]
powerball-1993-01-23,,,,,,[]
powerball-1993-01-27,,,,,,[]
powerball-1993-01-30,,,,,,[]
powerball-1993-02-03,,,,,,[]
powerball-1993-02-06,,,,,,[]
powerball-1993-02-10,,,,,,[]
powerball-1993-02-13,,,,,,[]
powerball-1993-02-17,,,,,,[]
powerball-1993-02-20,,,,,,[]
powerball-1993-02-24,,,,,,[]
powerball-1993-02-27,,,,,,[]
powerball-1993-03-03,,,,,,[]
powerball-1993-03-06,,,,,,[]
powerball-1993-03-10,,,,,,[]
powerball-1993-03-13,,,,,,[]
powerball-1993-03-17,,,,,,[]
powerball-1993-03-20,,,,,,[]
powerball-1993-03-24,,,,,,[]
powerball-1993-03-27,,,,,,[]
powerball-1993-03-31,,,,,,[]
powerball-1993-04-03,,,,,,[]
powerball-1993-04-07,,,,,,[]
powerball-1993-04-10,,,,,,[]
powerball-1993-04-14,,,,,,[]
powerball-1993-04-17,,,,,,[]
powerball-1993-04-21,,,,,,[]
powerball-1993-04-24,,,,,,[]
powerball-1993-04-28,,,,,,[]
powerball-1993-05-01,,,,,,[]
powerball-1993-05-05,,,,,,[]
powerball-1993-05-08,,,,,,[]
powerball-1993-05-12,,,,,,[]
powerball-1993-05-15,,,,,,[]
powerball-1993-05-19,,,,,,[]
powerball-1993-05-22,,,,,,[]
powerball-1993-05-26,,,,,,[]
powerball-1993-05-29,,,,,,[]
powerball-1993-06-02,,,,,,[]
powerball-1993-06-05,,,,,,[]
powerball-1993-06-09,,,,,,[]
powerball-1993-06-12,,,,,,[]
powerball-1993-06-16,,,,,,[]
powerball-1993-06-19,,,,,,[]
powerball-1993-06-23,,,,,,[]
powerball-1993-06-26,,,,,,[]
powerball-1993-06-30,,,,,,[]
powerball-1993-07-03,,,,,,[]
powerball-1993-07-07,,,,,,[]
powerball-1993-07-10,,,,,,[]
powerball-1993-07-14,,,,,,[]
powerball-1993-07-17,,,,,,[]
powerball-1993-07-21,,,,,,[]
powerball-1993-07-24,,,,,,[]
powerball-1993-07-28,,,,,,[]
powerball-1993-07-31,,,,,,[]
powerball-1993-08-04,,,,,,[]
powerball-1993-08-07,,,,,,[]
powerball-1993-08-11,,,,,,[]
powerball-1993-08-14,,,,,,[]
powerball-1993-08-18,,,,,,[]
powerball-1993-08-21,,,,,,[]
powerball-1993-08-25,,,,,,[]
powerball-1993-08-28,,,,,,[]
powerball-1993-09-01,,,,,,[]
powerball-1993-09-04,,,,,,[]
powerball-1993-09-08,,,,,,[]
powerball-1993-09-11,,,,,,[]
powerball-1993-09-15,,,,,,[]
powerball-1993-09-18,,,,,,[]
powerball-1993-09-22,,,,,,[]
powerball-1993-09-25,,,,,,[]
powerball-1993-09-29,,,,,,[]
